id,created_at,text
1435505275159519235,2021-09-08 07:28:22,Kabid Humas Polda Metro Jaya Komisaris Besar Yusri Yunus mengatakan pihaknya berhasil membongkar kasus penipuan lew… https://t.co/B4Fm1wu6kp
1435505053683441664,2021-09-08 07:27:29,"Intoleransi makanan sering kali dianggap sebagai alergi, padahal keduanya berbeda. Alergi adalah reaksi sistem keke… https://t.co/0SQHxe7VtY"
1435504747696427011,2021-09-08 07:26:16,Ari Lasso akhirnya berbicara mengenai penyakit yang dideritanya. Ari mengakui kalau dirinya terkena kanker Limfoma.… https://t.co/ItH76CrrKB
1435504570365460481,2021-09-08 07:25:34,Cristiano Ronaldo resmi berlabuh kembali ke Manchester United. Ia bahkan dikabarkan sudah membeli rumah baru di Ing… https://t.co/olWOGqpRR0
1435504153187414020,2021-09-08 07:23:55,"Baru-baru ini ditemukan seekor bulus dengan bobot 20 kilogram di Dusun Samber, Desa Sabrang Lor, Kecamatan Trucuk,… https://t.co/5QmGaMtOL2"
1435503946789888004,2021-09-08 07:23:05,"Petualangan petenis remaja asal Spanyol, Carlos Alcaraz, terhenti di babak perempat final turnamen grand slam US Op… https://t.co/rEWGG2iG7A"
1435503713460768769,2021-09-08 07:22:10,"Berikut adalah beberapa tokoh Taliban yang mengisi jabatan penting dalam pemerintahan, dikutip dari Reuters, 8 Sept… https://t.co/4gBMPW6AGW"
1435503526961029124,2021-09-08 07:21:25,Mantan Koki Cristiano Ronaldo mengungkapkan rahasia diet mega bintang yang kini berseragam Manchester United itu sa… https://t.co/Hrdp5PRyOF
1435503343497924609,2021-09-08 07:20:42,"Real Madrid menjadwalkan acara perkenalan resmi gelandang Edouard Camavinga sebagai pemain mereka pada hari ini, Ra… https://t.co/E3AwWrui3E"
1435503197653663749,2021-09-08 07:20:07,Puluhan Korban Kebakaran Lapas Tangerang Dibawa ke RS Polri https://t.co/EYSUEtjFpa #TempoFoto
1435503190464622596,2021-09-08 07:20:05,Direktur Eksekutif LBH Konsumen Jakarta Zentoni meminta Presiden Jokowi tidak terburu-buru menyetujui moratorium PK… https://t.co/jYPe2XpDAz
1435503183674052616,2021-09-08 07:20:04,Dua Petugas Dishub DKI Terbukti Memeras Sopir Bus di Cempaka Mas https://t.co/VlZmyUYuRq #TempoMetro
1435498425290690562,2021-09-08 07:01:09,Beredar sebuah dokumen tertanggal 15 April 2021 yang memuat daftar obligor atau debitur dana BLBI yang masuk ke dal… https://t.co/lqzZsFVhPB
1435497466560798724,2021-09-08 06:57:20,The PeduliLindungi application is required for entering malls and flights and currently it is also planned to conti… https://t.co/dQtqCXVfXo
1435496239550779392,2021-09-08 06:52:28,"Tokoh di kabinet Taliban ini masuk dalam daftar ""paling dicari"" FBI. Ia dihargai 10 juta dolar AS bagi yang bisa me… https://t.co/GmEzZKgEOe"
1435495098259632129,2021-09-08 06:47:56,"Setelah turun, harga tes PCR Indonesia jadi salah satu yang terendah di ASEAN. Butuh waktu setahun lebih untuk mewu… https://t.co/3at8kfHK3W"
1435495018219773960,2021-09-08 06:47:37,Perayaan ulang tahun Amora Lemos semakin membuat Krisdayanti dan Raul Lemos bahagia karena kehadiran Atta Halilinta… https://t.co/D24s5OWO2u
1435494182550790149,2021-09-08 06:44:17,Remaja 14 tahun yang sedang menunggu kereta menjadi korban perkosaan berantai. Polisi sudah menahan 6 dari 14 pelak… https://t.co/xbO8NvypNl
1435493887582244872,2021-09-08 06:43:07,Unik! Ban Mobil Listrik dari Daur Ulang Botol Minum Hewan Peliharaan https://t.co/YzhYy2cTYS #TempoOtomotif
1435493880762228739,2021-09-08 06:43:06,"Bayar Jalan Tol Tanpa Buka Kaca Mobil Mulai Diujicoba, Begini Kata BPJT https://t.co/AVataS7Ltl #TempoOtomotif"
1435493873455747076,2021-09-08 06:43:04,"Crowd Free Night Jakarta oleh Polda Metro Jaya, Catat 4 Lokasinya https://t.co/mdNfXvaSmg #TempoOtomotif"
1435493285745676291,2021-09-08 06:40:44,"RT @tempodotco: Kepala Protokoler Istana era Presiden Gus Dur, Wahyu Muryadi mengatakan bahwa ketika ia dilengserkan, pendukungnya di luar…"
1435493245996306438,2021-09-08 06:40:34,"RT @tempodotco: Dalam somasinya, Luhut meminta Haris menjelaskan mengenai motif, serta maksud dan tujuan dari unggahan di akun YouTube prib…"
1435493207534555140,2021-09-08 06:40:25,RT @tempodotco: Lebih dari 5.000 orang telah menandatangani petisi Lindungi Kebebasan Berkeyakinan dan Beribadah di RI setelah insiden peru…
1435493125640888329,2021-09-08 06:40:05,RT @tempodotco: Taliban menunjuk Mullah Hasan Akhund sebagai kepala pemerintahan interim Afghanistan dengan Mullah Abdul Ghani Baradar seba…
1435493095919947782,2021-09-08 06:39:58,RT @tempodotco: Lembaga Perlindungan Saksi dan Korban (LPSK) mengatakan rencana terduga pelaku dugaan pelecehan seksual di kantor Komisi Pe…
1435492655270563851,2021-09-08 06:38:13,"Rencana penyaluran bantuan sebesar Rp 1,2 juta itu sebelumnya telah diumumkan Presiden Joko Widodo dan para menteri… https://t.co/uO8INuBLpG"
1435491731131097088,2021-09-08 06:34:33,Dua warga negara asing masuk dalam daftar 41 narapidana tewas dalam tragedi kebakaran Lapas Tangerang pada Rabu din… https://t.co/5Bn8TCg0zL
1435490879217623040,2021-09-08 06:31:10,Saiful Mahdi bukan dosen pertama yang dibidik dengan UU ITE. Simak dua kasus lainnya. #TempoNasional https://t.co/M3Aat4EZM5
1435490078395039747,2021-09-08 06:27:59,Survei Konsumen Bank Indonesia pada Agustus 2021 mengindikasikan keyakinan konsumen terhadap kondisi ekonomi masih… https://t.co/UdkGGBQaXy
1435487832739434496,2021-09-08 06:19:04,"Bintangi Drama Korea The Veil, Kim Ji Eun Berperan Sebagai Agen Lapangan https://t.co/18X4rU64jI #TempoCantika"
1435487444103618561,2021-09-08 06:17:31,“Di luar Jawa banyak fasilitas tes PCR yang baru keluar 2-3 hari. Padahal masa berlaku tes maksimal hanya 2x24 jam… https://t.co/oxPShKSMlB
1435486345766440963,2021-09-08 06:13:09,Donald Trump Bakal Jadi Komentator Duel Tinju Evander Holyfield vs Vitor Belfort https://t.co/5OTGGuliI4 #TempoSport
1435486338996793344,2021-09-08 06:13:07,Tenis US Open: Aryna Sabalenka Hadapi Leylah Fernandez di Babak Semifinal https://t.co/ADttWNaST8 #TempoSport
1435486332227239939,2021-09-08 06:13:06,"Brandon Figueroa Positif Covid, Duel Tinju Unifikasi vs Stephen Fulton Ditunda https://t.co/hw2XV0U3nx #TempoSport"
1435486324987891713,2021-09-08 06:13:04,Ketahui Makna Kode Warna dalam Aplikasi PeduliLindungi Sebelum Bepergian https://t.co/ZI69aK5KWF #TempoTravel
1435485781552877569,2021-09-08 06:10:55,"Kebakaran di Lapas Tangerang terjadi pada Rabu dinihari pukul 1.45, api berasal dari Blok C yang dihuni oleh narapi… https://t.co/bwBtXh60fa"
1435484525480476675,2021-09-08 06:05:55,Kemendikbudristek memastikan bahwa pembubaran Badan Standar Nasional Pendidikan (BSNP) tidak bertentangan dengan UU… https://t.co/GDLavIIz8R
1435483298457817090,2021-09-08 06:01:02,A total of 41 inmates died and 73 others were injured due to the fire at the overcrowded prison. #TempoEnglish https://t.co/hcUJ0eHHCx
1435482431071481864,2021-09-08 05:57:36,Lebih dari 1.000 orang berunjuk rasa di ibu kota El Salvador pada Selasa untuk memprotes adopsi bitcoin sebagai ala… https://t.co/w3dVROkxG8
1435482298091147265,2021-09-08 05:57:04,"Jadwal Liga Inggris Pekan Keempat dan Klasemennya, 2 Laga Live SCTV https://t.co/XRJLIH9VXy #TempoBola"
1435482291032055809,2021-09-08 05:57:02,"PSG Vs Clermont Foot: Lionel Messi dan Neymar Absen, Pochettino Krisis Penyerang https://t.co/HspjAMzlz3 #TempoBola"
1435481280179683332,2021-09-08 05:53:01,"KPK menyebut tidak ada LHKPN atas nama politikus PKS Abdurrahman Suhaimi sejak 2014 hingga 2020. Padahal, Suhaimi d… https://t.co/lgCxJXPnO0"
1435479935930433536,2021-09-08 05:47:41,Daftar anggota kabinet pemerintahan Afghanistan didominasi oleh anggota senior Taliban dan tidak ada wanita.… https://t.co/cDfneRN1OX
1435475878637563907,2021-09-08 05:31:33,"Putuskan Istirahat dari Tenis, Naomi Osaka: Saya Merasa Sangat Sedih https://t.co/HtpM0botEj #TempoCantika"
1435475871465238531,2021-09-08 05:31:32,"Putri Chacha Frederica Mengalami Demam Kejang, Simak Gejalanya Berikut Ini https://t.co/bjqNsWvjJV #TempoCantika"
1435474489211424776,2021-09-08 05:26:02,"Buntut Insiden vs Persiraja, AHHA PS Pati Pulangkan Syaiful Indra dan Zulham https://t.co/ahA3JVMAbV #TempoBola"
1435474200567828488,2021-09-08 05:24:53,"Hari tanpa bayangan kembali hadir, dimulai dari wilayah paling barat yang juga termasuk paling utara Indonesia yakn… https://t.co/Fg5N07x0rn"
1435473116201771016,2021-09-08 05:20:35,"Usai menghina Indonesia, Direktur Kreatif  Miss Supranational, Andre Sleigh, meminta maaf. #TempoSeleb https://t.co/8BHDiYCZME"
1435470845661495298,2021-09-08 05:11:34,"Usai Absen di GP Inggris, Andi Gilang Berlatih Keras Hadapi Moto3 Aragon https://t.co/kMTlXTpmRA #TempoOtomotif"
1435470838556364801,2021-09-08 05:11:32,"Chery Tiggo Pro Segera Tiba di Indonesia, SUV Ini Andalkan Filter Udara Kabin https://t.co/C2Pbf3aUMi #TempoOtomotif"
1435470423492161538,2021-09-08 05:09:53,Aktris Chacha Frederica mengungkapkan kesedihannya ketika putrinya yang baru berusia 1 tahun mengalami demam tinggi… https://t.co/dvkoqk0ffe
1435468613310304258,2021-09-08 05:02:41,Sheila Marcia memutuskan untuk menghapus beberapa tato di tubuhnya. Ia menghapus tato di area wajah dan beberapa di… https://t.co/4lXuSE9Hzz
1435467676185337856,2021-09-08 04:58:58,"Sejumlah rumah sakit swasta di Kuala Lumpur, Malaysia, mulai membuka layanan vaksinasi Covid-19 berbayar baik untuk… https://t.co/gFD4gZOLlN"
1435465941509304324,2021-09-08 04:52:04,Inilah Makanan Penyebab Utama Lemak Perut yang Bikin Perut Buncit https://t.co/aU3hyf5sKE #TempoCantik
1435465933112307719,2021-09-08 04:52:02,7 Penyebab Kulit Gatal dari Reaksi Alergi hingga Infeksi Jamur https://t.co/alHjhBzQ6X #TempoCantik
1435465186001883136,2021-09-08 04:49:04,Nadiem Makarim memastikan tidak akan memberlakukan aturan minimal 60 siswa agar sekolah bisa mendapat dana BOS.… https://t.co/FmpBoXsJ4M
1435464496961581059,2021-09-08 04:46:20,"""Saya berharap Pemerintah Jepang meningkatkan investasinya pada proyek-proyek infrastruktur di Indonesia, terutama… https://t.co/PhXXp82oTp"
1435463680842371072,2021-09-08 04:43:05,"Pecinta Bronco 2021, Simak Penjelasan Ford soal Atap SUV Itu https://t.co/L7J8i3bHdd #TempoOtomotif"
1435463673560981508,2021-09-08 04:43:04,Mitsubishi Outlander 2022 Raih Penghargaan IIHS Setelah Ganti Lampu Depan https://t.co/uuKwgz9RYj #TempoOtomotif
1435463545605353472,2021-09-08 04:42:33,Bank BRI mendapat penghargaan internasional bergengsi yakni sebagai salah satu tempat bekerja terbaik di Asia.… https://t.co/U6Z2Ci9N84
1435461898581864451,2021-09-08 04:36:00,Lembaga Perlindungan Saksi dan Korban (LPSK) mengatakan rencana terduga pelaku dugaan pelecehan seksual di kantor K… https://t.co/y47WXN8vvN
1435460995980300293,2021-09-08 04:32:25,"Brunei sempat dipuji berhasil menangani Covid-19, namun kini terjadi ledakan kasus harian di negara tersebut.… https://t.co/BGEIm5Qv9E"
1435458595605254145,2021-09-08 04:22:53,Petugas jaga hanya bisa mengevakuasi 20 narapidana. Sebanyak 100 napi lain yang menghuni Blok C tidak berhasil diev… https://t.co/0BwshLc1qe
1435457661676314638,2021-09-08 04:19:10,Polisi kembali menetapkan tiga orang sebagai tersangka dalam kasus pengerusakan Masjid Ahmadiyah di Kabupaten Sinta… https://t.co/0czPvXpDOa
1435456180705390594,2021-09-08 04:13:17,"Salah satu cara termudah untuk mengetahui apakah anak mengalami kesulitan melihat objek dari kejauhan, yaitu jika m… https://t.co/YB0ZAGuryP"
1435455896616800266,2021-09-08 04:12:09,"Richard Mainaky Pensiun, Flandy Limpele Tak Lupakan Uluran 'Kehidupan' Darinya https://t.co/BSuizkJN6J #TempoSport"
1435455889633284096,2021-09-08 04:12:08,US Open: Daniil Medvedev dan Leylah Fernandez Melaju ke Babak Semifinal https://t.co/selogUFeQ5 #TempoSport
1435455882171543552,2021-09-08 04:12:06,Jadwal MotoGP Aragon: Marc Marquez Bawa Rekor Tak Terkalahkan https://t.co/zIGUKWDlnP #TempoSport
1435455875016134660,2021-09-08 04:12:04,Kisah Sukses Sugeng Handoko Penggerak Desa Wisata Nglanggeran https://t.co/sT5ECMhBYI #TempoTravel
1435455868141654021,2021-09-08 04:12:03,Desa Wisata Nglanggeran Wakil Indonesia di Best Tourism Village Pariwisata Dunia https://t.co/rfhjt4erRO #TempoTravel
1435454567571886083,2021-09-08 04:06:53,"Polisi menyebut penyebab terjadinya kebakaran di Lapas Tangerang, diduga karena arus pendek listrik atau korsleting… https://t.co/3JVb7wYAJ0"
1435452105456640000,2021-09-08 03:57:06,"Cristiano Ronaldo Sudah Latihan Bersama Manchester United, Debut Pekan Ini? https://t.co/N18roF8aQv #TempoBola"
1435452098695499777,2021-09-08 03:57:04,"Jadwal Bola Kualifikasi Piala Dunia 8 September: Inggris, Italia, Spanyol... https://t.co/IfSNyTJvIs #TempoBola"
1435452091439280137,2021-09-08 03:57:02,"Ada Kekerasan di Laga AHHA PS Pati vs Persiraja, Ini Seruan Menpora buat PSSI https://t.co/x7bSGDZB1d #TempoBola"
1435450908100362247,2021-09-08 03:52:20,Komnas Perlindungan Anak meminta stasiun televisi untuk memboikot Saipul Jamil. #TempoSeleb https://t.co/emBl8iifX7
1435449774027669504,2021-09-08 03:47:50,"Nama ketiga buah hati Wendy Cagur ternyata mengandung nama-nama latin tumbuh-tumbuhan, dari padi, sawo kecik dan ku… https://t.co/PBf7XpBDgq"
1435447825668599812,2021-09-08 03:40:05,"Para napi Lapas Tangerang yang kamarnya tak sempat dibuka petugas, akhirnya tewas saat kebakaran melalap bangunan t… https://t.co/aejfJTYG99"
1435444807019552769,2021-09-08 03:28:05,"MAMA 2021 Bakal Digelar 11 Desember 2021, Lokasinya? https://t.co/gUqiOZhcqJ #TempoCantika"
1435444800216461317,2021-09-08 03:28:04,"Dampingi Suami Kunjungan ke Bali, Franka Franklin Bergaya Monokrom Nuansa Etnik https://t.co/pvkID362No #TempoCantika"
1435444793417502725,2021-09-08 03:28:02,Merasakan Lelah Tanpa Sebab? Cek Kondisi 4 Hormon dalam Tubuh https://t.co/jZJMQQLMaf #TempoCantika
1435442845427515399,2021-09-08 03:20:18,"Adik Alvin Faiz, Ameer Azzikra kembali pasang badan saat kakaknya dibully netizen karena menarik kembali mobil yang… https://t.co/aetLY8MBuJ"
1435442726296702976,2021-09-08 03:19:49,"RT @korantempo: Pegiat HAM, Victor Fredrik Yeimo, tengah dirawat di rumah sakit karena kondisinya kritis. Juru bicara Komite Nasional Papua…"
